77;0,18;M
73;0,35;I
68;0,08;D
76;0,05;L
69;0,13;E
32;15,95; 
65;0,37;A
83;0,7;S
84;0,23;T
115;5,86;s
99;2,28;c
97;7,51;a
108;2,9;l
116;7,37;t
105;7,12;i
110;6,11;n
103;1,45;g
121;1,4;y
114;4,71;r
107;0,5;k
44;1,15;,
82;0,48;R
117;1,86;u
70;0,05;F
101;9,15;e
111;4,99;o
109;1,53;m
87;0,13;W
104;3,61;h
112;0,97;p
66;0,12;B
78;0,12;N
100;2,86;d
46;0,72;.
75;0,07;K
79;0,07;O
67;0,17;C
55;0,02;7
50;0,03;2
48;0,08;0
49;0,03;1
53;0,03;5
80;0,17;P
119;1,18;w
102;1,86;f
98;0,9;b
47;0,02;/
85;0,05;U
8212;0,13;—
45;0,13;-
118;0,98;v
72;0,17;H
54;0,02;6
122;0,05;z
113;0,07;q
8217;0,15;’
8220;0,2;“
8221;0,2;”
57;0,02;9
120;0,07;x
86;0,03;V
106;0,02;j
74;0,05;J
90;0,02;Z
81;0,02;Q
71;0,02;G
Entropie:;3,0772749488292
